연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2016,송산동,면적,6.8,158.3,4.2,14.5,6.8,31.2,0.0,2024-05-13 00:00:00
2016,송산동,생산량,244.0,4385.0,109.0,981.0,104.0,975.0,0.0,2024-05-13 00:00:00
2016,천지동,농가수,9.0,27.0,13.0,0.0,0.0,8.0,0.0,2024-05-13 00:00:00
2016,천지동,면적,2.0,8.0,4.0,0.0,0.0,2.7,0.0,2024-05-13 00:00:00
2016,천지동,생산량,61.0,245.0,122.0,0.0,0.0,103.0,0.0,2024-05-13 00:00:00
2016,효돈동,농가수,101.0,741.0,0.0,17.0,36.0,188.0,6.0,2024-05-13 00:00:00
2016,효돈동,면적,36.0,290.0,0.0,4.8,23.0,63.3,2.0,2024-05-13 00:00:00
2016,효돈동,생산량,929.0,6514.0,0.0,351.0,643.0,2513.0,77.0,2024-05-13 00:00:00
2016,영천동,농가수,116.0,692.0,56.0,3.0,73.0,339.0,0.0,2024-05-13 00:00:00
2016,영천동,면적,30.0,615.0,19.0,1.1,38.4,129.8,0.0,2024-05-13 00:00:00
2016,영천동,생산량,950.0,17015.0,668.0,60.0,1076.0,3486.0,0.0,2024-05-13 00:00:00
2016,동홍동,농가수,53.0,356.0,28.0,1.0,6.0,54.0,0.0,2024-05-13 00:00:00
2016,동홍동,면적,9.7,159.3,5.5,0.3,2.2,17.8,0.0,2024-05-13 00:00:00
2016,동홍동,생산량,281.0,3761.0,167.0,15.0,65.0,525.0,0.0,2024-05-13 00:00:00
2016,서홍동,농가수,15.0,318.0,19.0,2.0,40.0,43.0,0.0,2024-05-13 00:00:00
2016,서홍동,면적,12.3,240.0,11.0,1.2,15.8,17.8,0.0,2024-05-13 00:00:00
2016,서홍동,생산량,372.0,7380.0,338.0,75.0,448.0,653.0,0.0,2024-05-13 00:00:00
2016,대륜동,농가수,15.0,397.0,11.0,5.0,0.0,96.0,6.0,2024-05-13 00:00:00
2016,대륜동,면적,13.2,435.4,6.0,1.0,0.0,36.4,1.0,2024-05-13 00:00:00
2016,대륜동,생산량,384.0,12054.0,175.0,60.0,0.0,1155.0,29.0,2024-05-13 00:00:00
2016,대천동,농가수,74.0,746.0,36.0,24.0,102.0,619.0,5.0,2024-05-13 00:00:00
2016,대천동,면적,81.6,512.5,26.7,9.1,74.4,181.1,0.8,2024-05-13 00:00:00
2016,대천동,생산량,1890.0,13410.0,1104.0,565.0,2476.0,5176.0,12.0,2024-05-13 00:00:00
2016,중문동,농가수,150.0,1302.0,9.0,13.0,47.0,178.0,18.0,2024-05-13 00:00:00
2016,중문동,면적,67.8,554.4,8.1,3.6,31.4,56.6,3.7,2024-05-13 00:00:00
2016,중문동,생산량,1880.0,14513.0,256.0,211.0,898.0,1758.0,98.0,2024-05-13 00:00:00
2016,예래동,농가수,33.0,642.0,0.0,14.0,2.0,100.0,6.0,2024-05-13 00:00:00
2016,예래동,면적,29.4,575.6,0.0,5.0,0.6,41.6,1.4,2024-05-13 00:00:00
2016,예래동,생산량,1000.0,13987.0,0.0,292.0,0.0,1157.0,26.0,2024-05-13 00:00:00
2017,대정읍,농가수,42.0,556.0,0.0,0.0,109.0,185.0,14.0,2024-05-13 00:00:00
2017,대정읍,면적,41.5,477.7,0.0,0.0,72.3,68.7,3.6,2024-05-13 00:00:00
2017,대정읍,생산량,894.0,13999.0,0.0,0.0,1960.0,2634.0,110.0,2024-05-13 00:00:00
2017,남원읍,농가수,129.0,2908.0,194.0,390.0,613.0,1295.0,97.0,2024-05-13 00:00:00
2017,남원읍,면적,140.8,3167.2,211.1,198.3,545.2,659.2,34.7,2024-05-13 00:00:00
2017,남원읍,생산량,3440.0,100909.0,10320.0,17642.0,15877.0,27380.0,847.0,2024-05-13 00:00:00
2017,성산읍,농가수,184.0,1455.0,33.0,21.0,21.0,230.0,147.0,2024-05-13 00:00:00
2017,성산읍,면적,62.1,807.0,17.7,10.3,10.3,89.1,34.6,2024-05-13 00:00:00
2017,성산읍,생산량,1418.0,18238.0,608.0,715.0,238.0,2491.0,131.0,2024-05-13 00:00:00
2017,안덕면,농가수,189.0,645.0,26.0,11.0,126.0,120.0,18.0,2024-05-13 00:00:00
2017,안덕면,면적,76.4,679.9,7.6,9.1,72.8,48.4,15.3,2024-05-13 00:00:00
2017,안덕면,생산량,1644.0,16438.0,183.0,462.0,1850.0,1734.0,578.0,2024-05-13 00:00:00
2017,표선면,농가수,32.0,769.0,0.0,77.0,92.0,536.0,34.0,2024-05-13 00:00:00
2017,표선면,면적,38.0,912.0,0.0,39.6,66.0,268.8,8.3,2024-05-13 00:00:00
2017,표선면,생산량,851.0,20422.0,0.0,2092.0,3487.0,7861.0,160.0,2024-05-13 00:00:00
2017,송산동,농가수,36.0,227.0,14.0,29.0,25.0,92.0,0.0,2024-05-13 00:00:00
2017,송산동,면적,2.5,122.8,0.0,12.0,6.9,27.5,0.0,2024-05-13 00:00:00
2017,송산동,생산량,82.0,456.0,11.0,666.0,118.0,627.0,0.0,2024-05-13 00:00:00
2017,천지동,농가수,0.0,1.0,0.0,0.0,0.0,9.0,5.0,2024-05-13 00:00:00
2017,천지동,면적,0.0,0.4,0.0,0.0,0.0,2.0,0.5,2024-05-13 00:00:00
2017,천지동,생산량,0.0,8.0,0.0,0.0,0.0,66.0,4.0,2024-05-13 00:00:00
2017,효돈동,농가수,171.0,1141.0,0.0,15.0,31.0,156.0,12.0,2024-05-13 00:00:00
2017,효돈동,면적,89.1,173.0,0.0,3.6,21.5,62.8,5.5,2024-05-13 00:00:00
2017,효돈동,생산량,2439.0,4153.0,0.0,532.0,1170.0,2152.0,187.0,2024-05-13 00:00:00
2017,영천동,농가수,257.0,1439.0,17.0,0.0,42.0,287.0,47.0,2024-05-13 00:00:00
2017,영천동,면적,72.6,440.5,5.2,0.0,34.1,111.4,18.1,2024-05-13 00:00:00
2017,영천동,생산량,2385.0,13353.0,159.0,0.0,994.0,2921.0,60.0,2024-05-13 00:00:00
